State,Date,daily_vaccinations,daily_vaccinations_per_million,positiveIncrease,deathIncrease,hospitalizedIncrease,totalTestResultsIncrease,NumberofTrips,PopulationStayingatHome,NumberofTrips500miles,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Mississippi,10/1/20,,,696,10,131,696,8957896,506516,2842,-4,-1,19,7,-18,2
Mississippi,10/2/20,,,672,20,0,672,8955355,507805,2222,-6,-2,12,7,-19,1
Mississippi,10/3/20,,,609,12,0,609,8303091,583188,2202,-5,0,37,13,-14,-1
Mississippi,10/4/20,,,321,2,0,321,7564085,606094,2467,-4,-2,30,12,-19,1
Mississippi,10/5/20,,,215,0,78,66027,7623344,627633,2340,-4,-2,15,6,-20,2
Mississippi,10/6/20,,,0,0,0,0,8542080,552353,1997,-5,0,24,8,-20,2
Mississippi,10/7/20,,,1538,38,0,1538,8606454,529892,2248,-4,-1,27,12,-19,2
Mississippi,10/8/20,,,578,23,0,578,7851694,528322,2186,-9,-5,18,10,-19,4
Mississippi,10/9/20,,,862,6,0,862,7994605,575737,2107,-14,-9,-6,-6,-22,7
Mississippi,10/10/20,,,957,16,0,957,7265928,648468,2059,-20,-14,-12,-9,-18,6
Mississippi,10/11/20,,,294,5,0,294,6895629,628720,1636,-12,-8,5,3,-18,3
Mississippi,10/12/20,,,296,0,184,296,8018926,575662,1632,-10,-8,18,4,-27,6
Mississippi,10/13/20,,,713,14,0,713,8567561,538357,2011,-8,-3,27,6,-20,4
Mississippi,10/14/20,,,876,25,0,876,8482863,520485,2389,-5,-3,21,8,-18,3
Mississippi,10/15/20,,,1322,12,0,1322,7689625,570452,3026,-9,-5,16,8,-18,4
Mississippi,10/16/20,,,1116,8,0,26005,8770278,507426,2719,-11,-9,7,7,-19,4
Mississippi,10/17/20,,,751,11,0,751,8207170,582662,2646,-9,-6,34,12,-13,1
Mississippi,10/18/20,,,0,0,0,0,7252317,608684,2422,-9,-6,20,12,-18,2
Mississippi,10/19/20,,,586,0,143,586,8316693,539479,2291,-11,-7,9,3,-18,4
Mississippi,10/20/20,,,730,31,0,730,8240524,539462,2126,-11,-5,21,4,-18,4
Mississippi,10/21/20,,,801,21,0,801,7716626,591498,2729,-8,-5,21,7,-18,4
Mississippi,10/22/20,,,958,8,0,958,8730742,532653,2264,-11,-8,21,6,-18,4
Mississippi,10/23/20,,,795,7,0,795,9654922,491308,2238,-13,-11,6,1,-19,4
Mississippi,10/24/20,,,1212,17,0,1212,8846464,557329,1810,-12,-7,14,6,-14,3
Mississippi,10/25/20,,,0,0,0,0,7642763,593363,2320,-13,-8,8,5,-19,3
Mississippi,10/26/20,,,675,8,196,675,8590459,543717,1919,-10,-7,10,3,-17,4
Mississippi,10/27/20,,,854,20,0,854,8561270,541638,1755,-10,-4,11,4,-18,4
Mississippi,10/28/20,,,1000,19,0,35443,7850959,570533,2306,-19,-9,-16,-3,-24,8
Mississippi,10/29/20,,,970,8,0,41247,8126400,563467,2254,-15,-10,3,11,-29,3
Mississippi,10/30/20,,,749,18,0,749,8939812,553927,2029,-10,-6,0,8,-25,2
Mississippi,10/31/20,,,824,6,0,824,8816395,600008,1587,-10,-1,29,7,-14,-1
Mississippi,11/1/20,,,340,14,0,340,8851578,647093,2906,-9,-6,5,3,-18,1
Mississippi,11/2/20,,,365,0,152,33309,9523725,631356,1536,-7,-4,-3,6,-19,3
Mississippi,11/3/20,,,644,36,0,644,8974613,543581,1492,7,6,35,8,-20,2
Mississippi,11/4/20,,,766,13,0,766,7997948,592582,1734,-7,-5,5,7,-17,4
Mississippi,11/5/20,,,1612,8,0,1612,9649293,589585,1662,-11,-7,7,4,-17,4
Mississippi,11/6/20,,,967,14,0,967,10741786,599845,1900,-13,-12,0,1,-18,4
Mississippi,11/7/20,,,1031,14,0,1031,9932196,626086,2298,-10,-7,17,6,-11,2
Mississippi,11/8/20,,,804,10,0,804,9872055,714325,2061,-10,-7,10,6,-16,2
Mississippi,11/9/20,,,516,0,186,37171,8850953,624861,2000,-10,-8,2,3,-17,4
Mississippi,11/10/20,,,933,37,0,933,8884477,602392,1868,-10,-5,3,3,-18,5
Mississippi,11/11/20,,,1256,17,0,1256,8307931,631868,2218,-7,-5,6,5,-24,6
Mississippi,11/12/20,,,1271,17,0,1271,8434978,619090,2350,-12,-8,9,3,-18,5
Mississippi,11/13/20,,,1305,5,0,1305,8954629,594639,1978,-13,-10,5,1,-19,5
